Cancer,Feature,Display,Category,Method,Source,Canonical,N_Low,N_High,Median_Low,Median_High,Effect,P,FDR,Significance,P_label,FDR_label
BLCA,Fibroblasts_MCPcounter,Fibroblasts,TME cell type,MCP-counter,IOBR::deconvo_tme(method='mcpcounter'),FIBROBLASTS,212,219,200.61325,201.4421625,0.82891250000003,0.779769638197085,0.921545936051101,ns,P=0.78,FDR=0.922
BLCA,mv_Endothelial_cells_xCell,Mv Endothelial Cells,TME cell type,xCell,IOBR::deconvo_tme(method='xcell'),MVENDOTHELIALCELLS,212,219,6.47432186559921e-24,1.14964522549987e-23,5.02213038939947e-24,0.835450842019503,0.962569051826212,ns,P=0.835,FDR=0.963
BLCA,Eosinophils_xCell,Eosinophils,TME cell type,xCell,IOBR::deconvo_tme(method='xcell'),EOSINOPHILS,212,219,1.14479157904129e-24,0,-1.14479157904129e-24,0.851503392000111,0.962569051826212,ns,P=0.852,FDR=0.963
BLCA,Monocytes_xCell,Monocytes,TME cell type,xCell,IOBR::deconvo_tme(method='xcell'),MONOCYTES,212,219,3.16517137279961e-23,3.25265165640783e-23,8.7480283608221e-25,0.937886524921354,0.991359854502222,ns,P=0.938,FDR=0.991
BLCA,Macrophages_M1_xCell,Macrophages M1,TME cell type,xCell,IOBR::deconvo_tme(method='xcell'),MACROPHAGESM1,212,219,0,0,0,0.953813466391227,0.991359854502222,ns,P=0.954,FDR=0.991
BLCA,Endothelial_cells_MCPcounter,Endothelial Cells,TME cell type,MCP-counter,IOBR::deconvo_tme(method='mcpcounter'),ENDOTHELIALCELLS,212,219,9.36525166666667,9.17348333333333,-0.191768333333332,0.957127926549789,0.991359854502222,ns,P=0.957,FDR=0.991
BLCA,Macrophages_EPIC,Macrophages,TME cell type,EPIC,IOBR::deconvo_tme(method='epic'),MACROPHAGES,212,219,0.00872813410744067,0.00919794942843815,0.000469815320997474,0.975625913139349,0.991359854502222,ns,P=0.976,FDR=0.991
BLCA,Macrophages_M2_xCell,Macrophages M2,TME cell type,xCell,IOBR::deconvo_tme(method='xcell'),MACROPHAGESM2,212,219,0,0,0,0.986869454242254,0.991359854502222,ns,P=0.987,FDR=0.991
BLCA,Macrophages_M2_quantiseq,Macrophages M2,TME cell type,quanTIseq,IOBR::deconvo_tme(method='quantiseq'),MACROPHAGESM2,212,219,0.0279464901073112,0.0271343855747092,-0.000812104532602043,0.991359854502222,0.991359854502222,ns,P=0.991,FDR=0.991
BRCA,Neutrophils_MCPcounter,Neutrophils,TME cell type,MCP-counter,IOBR::deconvo_tme(method='mcpcounter'),NEUTROPHILS,605,621,8.90836,10.9102933333333,2.00193333333333,9.22270661538253e-17,4.79580743999892e-15,****,P=9.22e-17,FDR=4.80e-15
