Cancer,Feature,N_Low,N_High,Median_Low,Median_High,Effect,P,FDR,Direction,Category,Row,EffectPlot,SigLabel
ESCA,Loss of proteostasis,81,81,-0.159148029825047,0.153380116148392,0.31252814597344,0.0406880943970459,0.0610321415955689,Higher in High,Proteostasis / metabolism,9,0.31252814597344,""
GBM,Loss of proteostasis,80,81,0.0362754261637956,-0.115476018284471,-0.151751444448267,0.0188691054440411,0.0251588072587215,Lower in High,Proteostasis / metabolism,9,-0.151751444448267,*
HNSC,Loss of proteostasis,251,251,0.184584330677722,-0.154232787291801,-0.338817117969523,0.000267591619773832,0.000642219887457196,Lower in High,Proteostasis / metabolism,9,-0.338817117969523,***
KICH,Loss of proteostasis,32,33,-0.0430227266120031,-0.0548754630957446,-0.0118527364837416,0.579461962134773,0.632140322328844,Lower in High,Proteostasis / metabolism,9,-0.0118527364837416,""
KIRC,Loss of proteostasis,266,266,0.227159808010243,-0.195179261812304,-0.422339069822547,7.77842595173743e-10,4.66705557104246e-09,Lower in High,Proteostasis / metabolism,9,-0.422339069822547,***
KIRP,Loss of proteostasis,145,145,0.305628506792778,-0.140420174027502,-0.44604868082028,4.43066355471824e-05,0.000132919906641547,Lower in High,Proteostasis / metabolism,9,-0.44604868082028,***
LAML,Loss of proteostasis,75,75,0.0240883440192874,0.0111388630568985,-0.0129494809623889,0.482129218070831,0.642838957427775,Lower in High,Proteostasis / metabolism,9,-0.0129494809623889,""
LGG,Loss of proteostasis,257,257,0.0505640336558086,-0.218989548788927,-0.269553582444736,0.00309148077041696,0.00370977692450035,Lower in High,Proteostasis / metabolism,9,-0.269553582444736,**
LIHC,Loss of proteostasis,185,186,-0.0444080969404709,-0.0415141893052349,0.002893907635236,0.888732141901834,0.888732141901834,Higher in High,Proteostasis / metabolism,9,0.002893907635236,""
LUAD,Loss of proteostasis,258,258,-0.0549103578852597,0.212452917782555,0.267363275667815,0.000441717474743737,0.000757229956703549,Higher in High,Proteostasis / metabolism,9,0.267363275667815,***
LUSC,Loss of proteostasis,250,251,0.0608299146889977,0.0410912239778518,-0.0197386907111459,0.71505256416491,0.71505256416491,Lower in High,Proteostasis / metabolism,9,-0.0197386907111459,""
MESO,Loss of proteostasis,43,44,-0.254822518178453,0.221448001278504,0.476270519456957,0.0752250507127531,0.100300067617004,Higher in High,Proteostasis / metabolism,9,0.476270519456957,""
OV,Loss of proteostasis,189,189,0.0322427770636641,-0.0238108038773744,-0.0560535809410386,0.0593251118903491,0.0711901342684189,Lower in High,Proteostasis / metabolism,9,-0.0560535809410386,""
PAAD,Loss of proteostasis,89,89,-0.0275399776696833,-0.215730200095707,-0.188190222426023,0.134070958302692,0.21471788073127,Lower in High,Proteostasis / metabolism,9,-0.188190222426023,""
PCPG,Loss of proteostasis,89,90,0.161344966485433,-0.0502131469715743,-0.211558113457007,0.0165773518653631,0.0397856444768714,Lower in High,Proteostasis / metabolism,9,-0.211558113457007,*
PRAD,Loss of proteostasis,248,249,0.251046927084836,-0.169121272974872,-0.420168200059708,1.00587475434655e-13,4.02349901738622e-13,Lower in High,Proteostasis / metabolism,9,-0.420168200059708,***
READ,Loss of proteostasis,83,83,-0.0552816714574444,0.04296103795362,0.0982427094110644,0.305931496575975,0.458897244863962,Higher in High,Proteostasis / metabolism,9,0.0982427094110644,""
SARC,Loss of proteostasis,129,130,0.153056432257488,-0.0945421128327944,-0.247598545090283,0.0197177238982178,0.0262902985309571,Lower in High,Proteostasis / metabolism,9,-0.247598545090283,*
SKCM,Loss of proteostasis,234,235,0.0676488515024589,-0.0637855764253925,-0.131434427927851,0.0778814022522841,0.0934576827027409,Lower in High,Proteostasis / metabolism,9,-0.131434427927851,""
STAD,Loss of proteostasis,187,188,0.0218531150578088,0.104325747005214,0.0824726319474055,0.632097469229446,0.632097469229446,Higher in High,Proteostasis / metabolism,9,0.0824726319474055,""
TGCT,Loss of proteostasis,75,75,0.108517973623116,0.0650887893354889,-0.0434291842876269,0.214834800122716,0.257801760147259,Lower in High,Proteostasis / metabolism,9,-0.0434291842876269,""
THCA,Loss of proteostasis,252,252,0.27486887761817,-0.349005571726766,-0.623874449344936,1.38818256456538e-21,1.66581907747846e-20,Lower in High,Proteostasis / metabolism,9,-0.623874449344936,***
THYM,Loss of proteostasis,60,60,-0.0890463532020209,0.341912457113367,0.430958810315388,0.0627946847301823,0.0964389412906828,Higher in High,Proteostasis / metabolism,9,0.430958810315388,""
UCEC,Loss of proteostasis,272,273,0.0252203283234723,0.067694583029058,0.0424742547055857,0.2632202147252,0.287149325154764,Higher in High,Proteostasis / metabolism,9,0.0424742547055857,""
UCS,Loss of proteostasis,28,29,0.185361608154006,-0.326504498386813,-0.511866106540819,0.0185374177410909,0.0741496709643636,Lower in High,Proteostasis / metabolism,9,-0.511866106540819,""
UVM,Loss of proteostasis,40,40,-0.0675345540481452,0.0968450382240703,0.164379592272216,0.446364899961439,0.669547349942159,Higher in High,Proteostasis / metabolism,9,0.164379592272216,""
ACC,Disabled macroautophagy,39,40,0.0444336661968813,0.19881644774469,0.154382781547809,0.316708310412783,0.422277747217044,Higher in High,Proteostasis / metabolism,8,0.154382781547809,""
BLCA,Disabled macroautophagy,203,203,-0.226907319789684,0.254751716868856,0.48165903665854,2.63580000039536e-08,7.90740000118609e-08,Higher in High,Proteostasis / metabolism,8,0.48165903665854,***
BRCA,Disabled macroautophagy,547,548,-0.0305024791029909,0.133373184345322,0.163875663448312,6.65360635189238e-05,0.000114061823175298,Higher in High,Proteostasis / metabolism,8,0.163875663448312,***
CESC,Disabled macroautophagy,152,152,-0.169388924140095,0.181038049909646,0.350426974049741,0.00064840959975654,0.00129681919951308,Higher in High,Proteostasis / metabolism,8,0.350426974049741,**
CHOL,Disabled macroautophagy,17,18,0.193454703405641,-0.100970018509925,-0.294424721915566,0.272656819122025,0.654376365892859,Lower in High,Proteostasis / metabolism,8,-0.294424721915566,""
COAD,Disabled macroautophagy,228,228,0.176241978283206,-0.0226701008076604,-0.198912079090866,0.0070755347522418,0.0141510695044836,Lower in High,Proteostasis / metabolism,8,-0.198912079090866,*
DLBC,Disabled macroautophagy,24,24,-0.023973748432527,0.397152804524648,0.421126552957175,0.0355081424433434,0.0710162848866868,Higher in High,Proteostasis / metabolism,8,0.421126552957175,""
ESCA,Disabled macroautophagy,81,81,-0.00725519194656499,0.19157477842782,0.198829970374385,0.376516592114179,0.502022122818905,Higher in High,Proteostasis / metabolism,8,0.198829970374385,""
GBM,Disabled macroautophagy,80,81,0.201841407776967,-0.0186288511139556,-0.220470258890923,0.242751633177409,0.264819963466264,Lower in High,Proteostasis / metabolism,8,-0.220470258890923,""
HNSC,Disabled macroautophagy,251,251,0.181906188863491,0.0192404000569932,-0.162665788806498,0.00838342768563518,0.0111779035808469,Lower in High,Proteostasis / metabolism,8,-0.162665788806498,*
KICH,Disabled macroautophagy,32,33,-0.0729860177412208,0.0554771048686729,0.128463122609894,0.779326518033962,0.779326518033962,Higher in High,Proteostasis / metabolism,8,0.128463122609894,""
KIRC,Disabled macroautophagy,266,266,0.138663738533049,-0.00148285026167045,-0.140146588794719,0.0801050176071504,0.123404216086936,Lower in High,Proteostasis / metabolism,8,-0.140146588794719,""
KIRP,Disabled macroautophagy,145,145,0.256734987985616,-0.023501704061053,-0.280236692046669,0.0452113481683568,0.0678170222525353,Lower in High,Proteostasis / metabolism,8,-0.280236692046669,""
LAML,Disabled macroautophagy,75,75,0.0839654619669898,-0.088301400397999,-0.172266862364989,0.296057009236243,0.592114018472487,Lower in High,Proteostasis / metabolism,8,-0.172266862364989,""
LGG,Disabled macroautophagy,257,257,0.307554973241573,-0.259409998663091,-0.566964971904664,1.56432367612949e-12,3.12864735225898e-12,Lower in High,Proteostasis / metabolism,8,-0.566964971904664,***
LIHC,Disabled macroautophagy,185,186,-0.129038294606945,0.235397811416336,0.364436106023281,5.41346827703096e-05,0.000108269365540619,Higher in High,Proteostasis / metabolism,8,0.364436106023281,***
LUAD,Disabled macroautophagy,258,258,-0.0307758542961629,0.200332682224393,0.231108536520556,0.000157861885788156,0.000378868525891575,Higher in High,Proteostasis / metabolism,8,0.231108536520556,***
LUSC,Disabled macroautophagy,250,251,0.0057321076560102,0.108332123332124,0.102600015676114,0.230316205850547,0.251254042746051,Higher in High,Proteostasis / metabolism,8,0.102600015676114,""
MESO,Disabled macroautophagy,43,44,-0.0897099928635095,0.21165484284867,0.30136483571218,0.0067772379802531,0.0116181222518625,Higher in High,Proteostasis / metabolism,8,0.30136483571218,*
