Cancer,DrugKey,Spearman_N,Spearman_Rho,Spearman_P,Spearman_FDR,DrugName,DrugID,PutativeTarget,PathwayName,N_CellLines_GDSC2,Median_LN_IC50,IsPriorityDrug
TGCT,Drug_2107__LJI308,150,-0.14808658162585,0.0705294683500488,0.136194835434577,LJI308,2107,"RSK2, RSK1, RSK3",PI3K/MTOR signaling,953,5.019894,TRUE
TGCT,Drug_2111__VE821,150,-0.0451771189830659,0.583035504384012,0.652999764910094,VE821,2111,ATR,Genome integrity,950,3.9402775,TRUE
TGCT,Drug_2169__AZD6482,150,0.37057824792213,3.04200045943644e-06,0.000104643958272109,AZD6482,2169,PI3Kbeta,PI3K/MTOR signaling,266,3.3943365,TRUE
TGCT,Drug_2170__AT13148,150,-0.205664251744522,0.0115750336133879,0.0360112156860957,AT13148,2170,AKT1,PI3K/MTOR signaling,953,3.438764,TRUE
TGCT,Drug_2360__THR_101,150,-0.157430996933197,0.0543528456107412,0.110058438480207,THR-101,2360,Mutant RAS,PI3K/MTOR signaling,731,5.193065,TRUE
TGCT,Drug_2361__THR_102,150,-0.367445664251745,3.73728422400389e-06,0.000104643958272109,THR-102,2361,Mutant RAS,PI3K/MTOR signaling,731,4.99625,TRUE
TGCT,Drug_2362__THR_103,150,-0.209746210942709,0.00999253506657077,0.0329165861016449,THR-103,2362,Mutant RAS,PI3K/MTOR signaling,731,4.493783,TRUE
THCA,Drug_1005__CISPLATIN,504,0.215533015954251,1.03843864896885e-06,1.29227920760568e-06,Cisplatin,1005,DNA crosslinker,DNA replication,760,3.1021655,TRUE
THCA,Drug_1007__DOCETAXEL,504,0.518375555249362,5.25329690361685e-36,2.4515385550212e-35,Docetaxel,1007,Microtubule stabiliser,Mitosis,966,-4.50888,TRUE
THCA,Drug_1010__GEFITINIB,504,0.359268903317483,8.4255288896556e-17,1.38773417006092e-16,Gefitinib,1010,EGFR,EGFR signaling,957,3.258682,TRUE
THCA,Drug_1014__REFAMETINIB,504,0.22835378113216,2.19014535571167e-07,2.85228232371752e-07,Refametinib,1014,"MEK1, MEK2",ERK MAPK signaling,946,2.5389975,TRUE
THCA,Drug_1016__TEMSIROLIMUS,504,0.614619965262644,1.10968378877849e-53,2.07140973905319e-52,Temsirolimus,1016,MTOR,PI3K/MTOR signaling,921,1.134302,TRUE
THCA,Drug_1017__OLAPARIB,504,0.0114505798776413,0.797614966965127,0.812117057273583,Olaparib,1017,"PARP1, PARP2",Genome integrity,966,4.3531465,TRUE
THCA,Drug_1018__VELIPARIB,504,0.549735814251689,3.83922905405901e-41,3.07138324324721e-40,Veliparib,1018,"PARP1, PARP2",Genome integrity,948,5.28497,TRUE
