Cancer,DrugKey,Comparison,Test,N_Low,N_High,Median_Low,Median_High,Effect,P,FDR,Sensitive_Group,Drug_Value_Label,DrugName,DrugID,PutativeTarget,PathwayName,N_CellLines_GDSC2,Median_LN_IC50,IsPriorityDrug
CHOL,Drug_2361__THR_102,MO-DDRscore High vs Low,Wilcoxon rank-sum,17,18,7.89300664333663,7.89748384362718,0.0044772002905562,0.482771918563021,0.917992279520064,Low,log2_predicted_IC50,THR-102,2361,Mutant RAS,PI3K/MTOR signaling,731,4.99625,TRUE
CHOL,Drug_2362__THR_103,MO-DDRscore High vs Low,Wilcoxon rank-sum,17,18,7.07085996888398,7.18616411913204,0.115304150248057,0.287379561162025,0.917992279520064,Low,log2_predicted_IC50,THR-103,2362,Mutant RAS,PI3K/MTOR signaling,731,4.493783,TRUE
COAD,Drug_1005__CISPLATIN,MO-DDRscore High vs Low,Wilcoxon rank-sum,228,228,4.82728286601944,4.64809757262238,-0.179185293397068,0.0160595570373147,0.0529020702405661,High,log2_predicted_IC50,Cisplatin,1005,DNA crosslinker,DNA replication,760,3.1021655,TRUE
COAD,Drug_1007__DOCETAXEL,MO-DDRscore High vs Low,Wilcoxon rank-sum,228,228,-6.66686322427144,-6.67811159248208,-0.0112483682106381,0.421294132872365,0.655346428912568,High,log2_predicted_IC50,Docetaxel,1007,Microtubule stabiliser,Mitosis,966,-4.50888,TRUE
COAD,Drug_1010__GEFITINIB,MO-DDRscore High vs Low,Wilcoxon rank-sum,228,228,4.4058744280215,4.44200205183372,0.036127623812213,0.731657351057037,0.83801372235955,Low,log2_predicted_IC50,Gefitinib,1010,EGFR,EGFR signaling,957,3.258682,TRUE
COAD,Drug_1014__REFAMETINIB,MO-DDRscore High vs Low,Wilcoxon rank-sum,228,228,1.45742416492703,1.46069878894715,0.00327462402012468,0.651000738679216,0.804399406960383,Low,log2_predicted_IC50,Refametinib,1014,"MEK1, MEK2",ERK MAPK signaling,946,2.5389975,TRUE
COAD,Drug_1016__TEMSIROLIMUS,MO-DDRscore High vs Low,Wilcoxon rank-sum,228,228,2.08782307567255,2.30716827069115,0.219345195018593,7.32562629963152e-05,0.00102558768194841,Low,log2_predicted_IC50,Temsirolimus,1016,MTOR,PI3K/MTOR signaling,921,1.134302,TRUE
COAD,Drug_1017__OLAPARIB,MO-DDRscore High vs Low,Wilcoxon rank-sum,228,228,6.55445027941625,6.53277593224521,-0.0216743471710465,0.708260479894346,0.83801372235955,High,log2_predicted_IC50,Olaparib,1017,"PARP1, PARP2",Genome integrity,966,4.3531465,TRUE
COAD,Drug_1018__VELIPARIB,MO-DDRscore High vs Low,Wilcoxon rank-sum,228,228,7.53540155363275,7.50330052806076,-0.0321010255719898,0.133621762744504,0.280594650660516,High,log2_predicted_IC50,Veliparib,1018,"PARP1, PARP2",Genome integrity,948,5.28497,TRUE
COAD,Drug_1022__AZD7762,MO-DDRscore High vs Low,Wilcoxon rank-sum,228,228,-0.420714058451576,-0.70030690448465,-0.279592846033074,4.39069720134114e-09,1.22939521637552e-07,High,log2_predicted_IC50,AZD7762,1022,"CHEK1, CHEK2",Cell cycle,960,0.0970545,TRUE
COAD,Drug_1032__AFATINIB,MO-DDRscore High vs Low,Wilcoxon rank-sum,228,228,1.99799112618779,1.98047224026772,-0.0175188859200774,0.92440940230399,0.937402964030162,High,log2_predicted_IC50,Afatinib,1032,"EGFR, ERBB2",EGFR signaling,965,1.646094,TRUE
COAD,Drug_1046__WEE1_INHIBITOR,MO-DDRscore High vs Low,Wilcoxon rank-sum,228,228,2.58614901436058,2.47294461164702,-0.113204402713561,0.000426068068108704,0.00477196236281748,High,log2_predicted_IC50,Wee1 Inhibitor,1046,"WEE1, CHEK1",Cell cycle,956,1.8240615,TRUE
COAD,Drug_1053__MK_2206,MO-DDRscore High vs Low,Wilcoxon rank-sum,228,228,3.90518874902123,3.90210859114341,-0.00308015787781635,0.733262007064606,0.83801372235955,High,log2_predicted_IC50,MK-2206,1053,"AKT1, AKT2",PI3K/MTOR signaling,967,2.75657,TRUE
COAD,Drug_1057__DACTOLISIB,MO-DDRscore High vs Low,Wilcoxon rank-sum,228,228,-2.13648449991413,-2.21418626108675,-0.077701761172615,0.0189900257639512,0.0559706022516456,High,log2_predicted_IC50,Dactolisib,1057,"PI3K (class 1), MTORC1, MTORC2",PI3K/MTOR signaling,957,-1.67946,TRUE
